paper_id,year,author_name,affiliation_string,institution_type
1802.04181,2018,Natalia Díaz-Rodríguez,"U2IS, ENSTA ParisTech, Inria FLOWERS team, Université Paris Saclay, Palaiseau, France",research university / public research institute
1802.04181,2018,Jean-François Goudou,"Vision Lab, Thales, Theresis, Palaiseau, France",industry research lab
1802.04181,2018,David Filliat,"U2IS, ENSTA ParisTech, Inria FLOWERS team, Université Paris Saclay, Palaiseau, France",research university / public research institute
1811.05106,2018,Sungmin Kang,KAIST,research university
1811.05106,2018,David Keetae Park,Korea University,research university
1811.05106,2018,Jaehyuk Chang,NAVER WEBTOON Corp.,tech company
1811.05106,2018,Jaegul Choo,Korea University,research university
1808.04317,2018,Hugo Scurti,"McGill University, Montréal, Québec, Canada",research university
1808.04317,2018,Clark Verbrugge,"McGill University, Montréal, Québec, Canada",research university
1812.11142,2018,Guy Marshall,"School of Computer Science, University of Manchester, United Kingdom",research university
1812.11142,2018,André Freitas,"School of Computer Science, University of Manchester, United Kingdom",research university
1805.07547,2018,Emilio Cartoni,"LOCEN, ISTC-CNR, Rome, Italy",government research institute
1805.07547,2018,Gianluca Baldassarre,"LOCEN, ISTC-CNR, Rome, Italy",government research institute
1804.10829,2018,Shiqi Wang,Columbia University,research university
1804.10829,2018,Kexin Pei,Columbia University,research university
1804.10829,2018,Justin Whitehouse,Columbia University,research university
1804.10829,2018,Junfeng Yang,Columbia University,research university
1804.10829,2018,Suman Jana,Columbia University,research university
1806.03793,2018,Siyuan Li,"IIIS, Tsinghua University",research university
1806.03793,2018,Fangda Gu,Tsinghua University,research university
1806.03793,2018,Guangxiang Zhu,"IIIS, Tsinghua University",research university
1806.03793,2018,Chongjie Zhang,"IIIS, Tsinghua University",research university
1809.08860,2018,Mainak Dan,"Interdisciplinary Graduate School, Nanyang Technological University, Singapore",research university
1809.08860,2018,Seshadhri Srinivasan,"Berkeley Education Alliance for Research in Singapore (BEARS), Singapore",research consortium
1810.05983,2018,Yaliang Li,"Tencent Medical AI Lab, Palo Alto, CA USA",tech company research lab
1810.05983,2018,Liuyi Yao,"State University of New York at Buffalo, Buffalo, NY USA",public research university
1810.05983,2018,Nan Du,"Tencent Medical AI Lab, Palo Alto, CA USA",tech company research lab
1810.05983,2018,Jing Gao,"State University of New York at Buffalo, Buffalo, NY USA",public research university
1810.05983,2018,Qi Li,"University of Illinois at Urbana-Champaign, Illinois, IL USA",public research university
1810.05983,2018,Chuishi Meng,"JD Urban Computing Business Unit, Beijing, China",tech company research unit
1810.05983,2018,Chenwei Zhang,"University of Illinois at Chicago, Chicago, IL USA",public research university
1810.05983,2018,Wei Fan,"Tencent Medical AI Lab, Palo Alto, CA USA",tech company research lab
1810.08460,2018,Damien Pellier,"Université Paris Descartes, Centre de Recherche en Informatique, 45, rue des Saints Père F-75270 Paris cedex 06",research university
1810.08460,2018,lias. Belaidi,"Université Paris Descartes, Centre de Recherche en Informatique, 45, rue des Saints Père F-75270 Paris cedex 06",research university
1804.02257,2018,Sam Kriegman,"University of Vermont, Burlington, VT, USA",research university
1804.02257,2018,Nick Cheney,"University of Wyoming, Laramie, WY, USA",research university
1804.02257,2018,Francesco Corucci,"3DNextech s.r.l., Livorno, Italy",private company
1804.02257,2018,Josh C. Bongard,"University of Vermont, Burlington, VT, USA",research university
1806.10755,2018,Peter Sutor,"University of Maryland, College Park MD 20742, USA",research university
1806.10755,2018,Douglas Summers-Stay,"U.S. Army Research Laboratory Adelphi, Adelphi MD 20783, USA",government lab
1806.10755,2018,Yiannis Aloimonos,"University of Maryland, College Park MD 20742, USA",research university
1805.07733,2018,Jiechuan Jiang,Peking University,research university
1805.07733,2018,Zongqing Lu,Peking University,research university
1805.06861,2018,Carl Schultz,"Aarhus University, Denmark",research university
1805.06861,2018,Mehul Bhatt,"Örebro University, Sweden; University of Bremen, Germany",research university
1805.06861,2018,Jakob Suchan,"University of Bremen, Germany",research university
1805.06861,2018,Przemysław Wałęga,"University of Warsaw, Poland",research university
1810.07159,2018,Shuai Zhao,"AT&T Research Labs, Bedminster, NJ, USA; New Jersey Institute of Technology, Newark, NJ, USA",industry research lab and research university (dual affiliation)
1810.07159,2018,Manoop Talasila,"AT&T Research Labs, Bedminster, NJ, USA",industry research lab
1810.07159,2018,Guy Jacobson,"AT&T Research Labs, Bedminster, NJ, USA",industry research lab
1810.07159,2018,Cristian Borcea,"New Jersey Institute of Technology, Newark, NJ, USA",research university
1810.07159,2018,Syed Anwar Aftab,"AT&T Research Labs, Bedminster, NJ, USA",industry research lab
1810.07159,2018,John F Murray,"AT&T Research Labs, Bedminster, NJ, USA",industry research lab
1804.05212,2018,Avi Segal,"Ben-Gurion University of the Negev, Israel",research university
1804.05212,2018,Yossi Ben David,"Microsoft, Israel",tech company
1804.05212,2018,Joseph Jay Williams,"National University of Singapore, Singapore",research university
1804.05212,2018,Kobi Gal,"Ben-Gurion University of the Negev, Israel",research university
1804.05212,2018,Yaar Shalom,"Ben-Gurion University of the Negev, Israel",research university
1808.01741,2018,Walid S. Saba,"Astound.ai, 111 Independence Drive, Menlo Park, CA 94025",tech company
1812.02648,2018,Hado van Hasselt,DeepMind,industry research lab
1812.02648,2018,Yotam Doron,DeepMind,industry research lab
1812.02648,2018,Florian Strub,"University of Lille, DeepMind",research university and industry research lab
1812.02648,2018,Matteo Hessel,DeepMind,industry research lab
1812.02648,2018,Nicolas Sonnerat,DeepMind,industry research lab
1812.02648,2018,Joseph Modayil,DeepMind,industry research lab
1802.02534,2018,Dario Zanca,"Department of Information Engineering, University of Florence, Florence, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",research university
1802.02534,2018,Valeria Serchi,"Eye-tracking and Visual Application Lab (EVALab), Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy",research university
1802.02534,2018,Pietro Piu,"Eye-tracking and Visual Application Lab (EVALab), Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy",research university
1802.02534,2018,Francesca Rosini,"Eye-tracking and Visual Application Lab (EVALab), Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy; Neurological and Neurometabolic Unit, Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy",research university medical center
1802.02534,2018,Alessandra Rufa,"Eye-tracking and Visual Application Lab (EVALab), Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy; Neurological and Neurometabolic Unit, Department of Medicine, Surgery and Neurosciences, University of Siena, Siena, Italy",research university medical center
1801.01604,2018,Han Xiao,"State Key Laboratory of Intelligent Technology and Systems, National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, Beijing 100084, PR China",research university
1810.02612,2018,Brian Paden,Advanced Technology Group @ Samsung Smart Machines,tech company
1810.02612,2018,Peng Liu,Advanced Technology Group @ Samsung Smart Machines,tech company
1810.02612,2018,Schuyler Cullen,Advanced Technology Group @ Samsung Smart Machines,tech company
1809.02317,2018,Soumi Chattopadhyay,"Student Member, IEEE",unknown
1809.02317,2018,Ansuman Banerjee,"Member, IEEE",unknown
1810.06617,2018,Razieh Mehri,"Concordia University, Montréal, Canada",research university
1810.06617,2018,Volker Haarslev,"Concordia University, Montréal, Canada",research university
1810.06617,2018,Hamidreza Chinaei,Nuance Communications,tech company
1806.00201,2018,Nicholas Guttenberg,"Araya Inc, Tokyo, Japan; Earth-life Science Institute, Tokyo, Japan",multiple affiliations: AI company and research institute
1806.00201,2018,Martin Biehl,"Araya Inc, Tokyo, Japan",AI company
1806.00201,2018,Nathaniel Virgo,"Earth-life Science Institute, Tokyo, Japan",research institute
1806.00201,2018,Ryota Kanai,"Araya Inc, Tokyo, Japan",AI company
1808.00981,2018,Trevor Buteau,"Fordham University, New York, NY 10023",research university
1808.00981,2018,Damian Lyons,"Fordham University, New York, NY 10023",research university
1805.09169,2018,Maaz Amjad,unknown,unknown
1805.09169,2018,fariha Bukhari,unknown,unknown
1805.09169,2018,Iqra Ameer,unknown,unknown
1805.09169,2018,Alexander Gelbukh,unknown,unknown
1803.09840,2018,Luigi Asprino,"STLab, ISTC-CNR (Rome, Italy); University of Bologna (Bologna, Italy)",research university and national research council
1803.09840,2018,Valerio Basile,"University of Turin (Turin, Italy)",research university
1803.09840,2018,Paolo Ciancarini,"University of Bologna (Bologna, Italy)",research university
1803.09840,2018,Valentina Presutti,"STLab, ISTC-CNR (Rome, Italy)",government research institute
1811.12455,2018,Catarina Moreira,"School of Business, University of Leicester, University Road, LE1 7RH Leicester, United Kingdom",research university
1809.05724,2018,Xiaoyan Wang,"University of Illinois at Urbana-Champaign, Department of Computer Science, Urbana-Champaign, IL, USA",research university
1809.05724,2018,Pavan Kapanipathi,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Ryan Musa,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Mo Yu,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Kartik Talamadupula,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Ibrahim Abdelaziz,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Maria Chang,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Achille Fokoue,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Bassem Makni,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Nicholas Mattei,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.05724,2018,Michael Witbrock,"IBM Research, IBM T.J. Watson Research Center, Yorktown Heights, NY, USA",industry research lab
1809.07027,2018,Ville Vakkuri,"Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland",research university
1809.07027,2018,Pekka Abrahamsson,"Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland",research university
1802.06767,2018,A. V. Palagin,"Палагін А.В. — автор, affiliated with the research described in the Ukrainian/Russian language AI ontology paper",unknown
1802.06767,2018,N. G. Petrenko,"Петренко Н.Г. — co-author, affiliated with the research described in the Ukrainian/Russian language AI ontology paper",unknown
1802.06767,2018,V. Yu. Velychko,"Величко В.Ю. — co-author, affiliated with the research described in the Ukrainian/Russian language AI ontology paper",unknown
1802.06767,2018,K. S. Malakhov,"Малахов К.С. — co-author, affiliated with the research described in the Ukrainian/Russian language AI ontology paper",unknown
1812.08957,2018,Arthur Choi,"Computer Science Department, University of California, Los Angeles, USA",research university
1812.08957,2018,Ruocheng Wang,"College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China",research university
1812.08957,2018,Adnan Darwiche,"Computer Science Department, University of California, Los Angeles, USA",research university
1809.03260,2018,Aniya Agarwal,IBM Research AI India,industry research lab
1809.03260,2018,Pranay Lohia,IBM Research AI India,industry research lab
1809.03260,2018,Seema Nagar,IBM Research AI India,industry research lab
1809.03260,2018,Kuntal Dey,IBM Research AI India,industry research lab
1809.03260,2018,Diptikalyan Saha,IBM Research AI India,industry research lab
1806.01151,2018,Ivan Bravi,"School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom",research university
1806.01151,2018,Jialin Liu,"Southern University of Science and Technology, Shenzhen, China",research university
1806.01151,2018,Diego Perez-Liebana,"School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom",research university
1806.01151,2018,Simon Lucas,"School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom",research university
1806.05108,2018,Theophanes E. Raptis,"National Center for Science and Research ""Demokritos"", Division of Applied Technologies, Computational Applications Group, Athens, Greece; University of Athens, Department of Chemistry, Laboratory of Physical Chemistry, Athens, Greece; University of Peloponnese, Informatics and Telecommunications Dept., Tripolis, Greece",government research center / public university
1803.05402,2018,Jack Harmer,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Linus Gisslén,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Jorge del Val,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Henrik Holst,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Joakim Bergdahl,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Tom Olsson,"Affiliation 2 (unnamed, distinct from affiliation 1)",unknown
1803.05402,2018,Kristoffer Sjöö,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1803.05402,2018,Magnus Nordin,"Affiliation 1 (unnamed, likely game/tech company based on in-house 3D game context)",game technology company
1909.01421,2019,Niek Tax,"Technische Universiteit Eindhoven (Eindhoven University of Technology), with research carried out as part of the Philips Research and Eindhoven University of Technology Data Science Flagships",research university
1907.05553,2019,Aras R. Dargazany,"Department of Electrical, Computer, and Biomedical Eng., Univ. Rhode Island",research university
1910.09472,2019,Francesco Calimeri,"DEMACS, University of Calabria, Italy",research university
1910.09472,2019,Francesco Cauteruccio,"DEMACS, University of Calabria, Italy",research university
1910.09472,2019,Luca Cinelli,"DEMACS, University of Calabria, Italy",research university
1910.09472,2019,Aldo Marzullo,"DEMACS, University of Calabria, Italy - CREATIS; CNRS UMR5220; INSERM U1206; Université de Lyon, Université Lyon 1, INSA-Lyon, Villeurbanne, France",research university and public research lab
1910.09472,2019,Claudio Stamile,"CREATIS; CNRS UMR5220; INSERM U1206; Université de Lyon, Université Lyon 1, INSA-Lyon, Villeurbanne, France",public research lab
1910.09472,2019,Giorgio Terracina,"DEMACS, University of Calabria, Italy",research university
1910.09472,2019,Francoise Durand-Dubief,"Hôpital Neurologique, Service de Neurologie A Hospices Civils de Lyon, Bron - France - CREATIS; CNRS UMR5220; INSERM U1206; Université de Lyon, Université Lyon 1, INSA-Lyon, Villeurbanne, France",hospital and public research lab
1910.09472,2019,Dominique Sappey-Marinier,"CERMEP - Imagerie du Vivant; Université de Lyon, Bron, France - CREATIS; CNRS UMR5220; INSERM U1206; Université de Lyon, Université Lyon 1, INSA-Lyon, Villeurbanne, France",medical imaging research center and public research lab
1903.05614,2019,Edward Lockhart,DeepMind,industry research lab
1903.05614,2019,Marc Lanctot,DeepMind,industry research lab
1903.05614,2019,Julien Pérolat,DeepMind,industry research lab
1903.05614,2019,Jean-Baptiste Lespiau,DeepMind,industry research lab
1903.05614,2019,Dustin Morrill,"DeepMind; University of Alberta, Edmonton, Canada",industry research lab and research university
1903.05614,2019,Finbarr Timbers,DeepMind,industry research lab
1903.05614,2019,Karl Tuyls,DeepMind,industry research lab
1908.01417,2019,Alexander Zook,"School of Interactive Computing, College of Computing, Georgia Institute of Technology, Atlanta, Georgia, USA",research university
1908.01417,2019,Eric Fruchter,"School of Interactive Computing, College of Computing, Georgia Institute of Technology, Atlanta, Georgia, USA",research university
1908.01417,2019,Mark O. Riedl,"School of Interactive Computing, College of Computing, Georgia Institute of Technology, Atlanta, Georgia, USA",research university
1902.09706,2019,Yamin Hu,"Anhui Province Key Laboratory of Software Engineering in Computing and Communication, School of Computer Science and Technology, University of Science and Technology of China, China",research university
1902.09706,2019,Wenjian Luo,"Anhui Province Key Laboratory of Software Engineering in Computing and Communication, School of Computer Science and Technology, University of Science and Technology of China, China",research university
1902.09706,2019,Junteng Wang,"Anhui Province Key Laboratory of Software Engineering in Computing and Communication, School of Computer Science and Technology, University of Science and Technology of China, China",research university
1909.09213,2019,Fabio Tardivo,"Department of Computer Science, New Mexico State University, Las Cruces, United States",research university
1903.07198,2019,Sarath Sreedharan,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ 85281 USA",research university
1903.07198,2019,Alberto Olmo,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ 85281 USA",research university
1903.07198,2019,Aditya Prasad Mishra,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ 85281 USA",research university
1903.07198,2019,Subbarao Kambhampati,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ 85281 USA",research university
1910.13526,2019,Qin Lin,"Robotics Institute, Carnegie Mellon University, Pittsburgh, PA 15213, USA",research university
1910.13526,2019,Sicco Verwer,"Department of Intelligent Systems, Delft University of Technology, 2600 AA Delft, the Netherlands",research university
1910.13526,2019,John Dolan,"Robotics Institute, Carnegie Mellon University, Pittsburgh, PA 15213, USA",research university
1905.13178,2019,Risto Miikkulainen,The University of Texas at Austin and Cognizant AI Lab,research university and industry research lab
1905.13178,2019,Jerry Smith,"Ailevate, Washington, DC",tech company
1905.13178,2019,Babak Hodjat,"Cognizant AI Lab, San Francisco, CA",industry research lab
1902.09335,2019,Sabrina Evans,"Department of Mathematics, Yale University",research university
1902.09335,2019,Paolo Turrini,"Department of Computer Science, University of Warwick",research university
1909.07116,2019,Dattaraj Rao,Persistent Systems Ltd.,tech company
1905.11474,2019,Sheikh Rabiul Islam,"Tennessee Tech University, Cookeville, TN",research university
1905.11474,2019,William Eberle,"Tennessee Tech University, Cookeville, TN",research university
1905.11474,2019,Sid Bundy,"Tennessee Tech University, Cookeville, TN",research university
1905.11474,2019,Sheikh Khaled Ghafoor,"Tennessee Tech University, Cookeville, TN",research university
1906.06251,2019,Curtis Bright,"University of Waterloo, Waterloo, Canada; Maplesoft, Waterloo, Canada",research university / software company (dual affiliation)
1906.06251,2019,Jürgen Gerhard,"Maplesoft, Waterloo, Canada",software company
1906.06251,2019,Ilias Kotsireas,"Wilfrid Laurier University, Waterloo, Canada",research university
1906.06251,2019,Vijay Ganesh,"University of Waterloo, Waterloo, Canada",research university
1907.04659,2019,Ravi Kashyap,City University of Hong Kong / SP Jain School of Global Management / Singapore University of Social Sciences,research university
1901.01970,2019,José Cláudio do Nascimento,No institutional affiliation listed in the provided text,unknown
1903.03411,2019,Thiago Freitas dos Santos,Centro Universitário FEI,private teaching and research university
1903.03411,2019,Paulo E. Santos,Centro Universitário FEI,private teaching and research university
1903.03411,2019,Leonardo A. Ferreira,Centro Universitário FEI,private teaching and research university
1903.03411,2019,Reinaldo A. C. Bianchi,Centro Universitário FEI,private teaching and research university
1903.03411,2019,Pedro Cabalar,University of Corunna,public research university
1910.00057,2019,Goutham Ramakrishnan,University of Wisconsin - Madison,research university
1910.00057,2019,Yun Chan Lee,University of Wisconsin - Madison,research university
1910.00057,2019,Aws Albarghouthi,University of Wisconsin - Madison,research university
1909.00885,2019,Khen Elimelech,"1 (Technion - Israel Institute of Technology, based on context of the paper)",research university
1909.00885,2019,Vadim Indelman,"2 (Technion - Israel Institute of Technology, based on context of the paper)",research university
1906.01747,2019,Ke Yang,"New York University, Department of Computer Science and Engineering",research university
1906.01747,2019,Vasilis Gkatzelis,"Drexel University, Department of Computer Science",research university
1906.01747,2019,Julia Stoyanovich,"New York University, Department of Computer Science and Engineering",research university
1907.09273,2019,Arthur Szlam,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Jonathan Gray,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Kavya Srinet,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Yacine Jernite,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Armand Joulin,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Gabriel Synnaeve,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Douwe Kiela,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Haonan Yu,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Zhuoyuan Chen,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Siddharth Goyal,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Demi Guo,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Danielle Rothermel,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,C. Lawrence Zitnick,Facebook AI Research (facebookresearch/craftassist),industry research lab
1907.09273,2019,Jason Weston,Facebook AI Research (facebookresearch/craftassist),industry research lab
1905.07028,2019,Laszlo Treszkai,"School of Informatics, University of Edinburgh, Edinburgh, UK",research university
1905.07028,2019,Vaishak Belle,"School of Informatics, University of Edinburgh, Edinburgh, UK; Alan Turing Institute, London, UK",research university and national research institute
1908.07651,2019,Tajul Rosli Razak,"Faculty of Computer and Mathematical Sciences, Universiti Teknologi Mara (Perlis)",public university
1905.07030,2019,Daoming Lyu,"Auburn University, Auburn, AL 36849, USA",research university
1907.07631,2019,Pavel Surynek,"Faculty of Information Technology, Czech Technical University in Prague, Thákurova 9, 160 00 Praha 6, Czech Republic",research university
1911.07318,2019,Michael Cashmore,"University of Strathclyde, United Kingdom",research university
1911.07318,2019,Alessandro Cimatti,"Fondazione Bruno Kessler, Italy",nonprofit research institute
1911.07318,2019,Daniele Magazzeni,"King's College London, United Kingdom",research university
1911.07318,2019,Andrea Micheli,"Fondazione Bruno Kessler, Italy",nonprofit research institute
1911.07318,2019,Parisa Zehtabi,"King's College London, United Kingdom",research university
1908.05145,2019,Sabine Frittella,"INSA Centre Val de Loire, Univ. Orléans, LIFO EA 4022, France",engineering school / research university
1908.05145,2019,Krishna Manoorkar,"Technion, Haifa, Israel",research university
1908.05145,2019,Alessandra Palmigiano,"VU School of Business and Economics, Amsterdam, the Netherlands, and Department of Mathematics and Applied Mathematics, University of Johannesburg, South Africa",research university
1908.05145,2019,Apostolos Tzimoulis,"VU School of Business and Economics, Amsterdam, The Netherlands",research university
1908.05145,2019,Nachoem M. Wijnberg,"Amsterdam Business School, the Netherlands and College of Business and Economics, University of Johannesburg, South Africa",research university
1901.10405,2019,Thomas J. Ringstrom,"Department of Computer Science, University of Minnesota, Minneapolis, MN",research university
1901.10405,2019,Paul R. Schrater,"Department of Computer Science and Department of Psychology, University of Minnesota, Minneapolis, MN",research university
1909.04386,2019,Xavier Ferrer Aran,"Department of Informatics, King's College London, United Kingdom",research university
1909.04386,2019,Jose M. Such,"Department of Informatics, King's College London, United Kingdom",research university
1909.04386,2019,Natalia Criado,"Department of Informatics, King's College London, United Kingdom",research university
1911.05499,2019,D. Höller,"Institute of Artificial Intelligence, Ulm University, 89081 Ulm, Germany",research university
1911.05499,2019,G. Behnke,"Institute of Artificial Intelligence, Ulm University, 89081 Ulm, Germany",research university
1911.05499,2019,P. Bercher,"Institute of Artificial Intelligence, Ulm University, 89081 Ulm, Germany",research university
